Faculty;Programme;Programme Code;Qualification Type;Minimum APS;English Requirement;Mathematics Requirement;Physical Sciences Requirement;Life Sciences Requirement;Additional Subject Requirements;Duration (Years);Source Page;;
Management Commerce and Law;Extended BCom in Business Information Systems;MSEIS;Extended Degree;28-31;Not specified;Not specified;Not specified;Not specified;For students with APS 28-31 who do not qualify for main programme;4;17;;
Management Commerce and Law;Extended BCom in Business Management;MSECBM;Extended Degree;28-31;Not specified;Not specified;Not specified;Not specified;For students with APS 28-31 who do not qualify for main programme;4;17;;
Management Commerce and Law;Extended BCom in Cost and Management Accounting;MSECMA;Extended Degree;28-31;Not specified;Not specified;Not specified;Not specified;For students with APS 28-31 who do not qualify for main programme;4;17;;
Management Commerce and Law;Extended BCom in Economics;MSEBCE;Extended Degree;28-31;Not specified;Not specified;Not specified;Not specified;For students with APS 28-31 who do not qualify for main programme;4;17;;
Management Commerce and Law;Extended BCom in Human Resources Management;MSEHR;Extended Degree;28-31;Not specified;Not specified;Not specified;Not specified;For students with APS 28-31 who do not qualify for main programme;4;17;;
Science Engineering and Agriculture;BSc in Biochemistry and Microbiology;MNBBSA;Degree;26;50% (adequate achievement);50% (adequate achievement);50% (adequate achievement);50% (adequate achievement);;3;19;;
Science Engineering and Agriculture;BSc in Biochemistry and Biology;MNBBSD;Degree;26;50% (adequate achievement);50% (adequate achievement);50% (adequate achievement);50% (adequate achievement);;3;19;;
Science Engineering and Agriculture;BSc in Microbiology and Botany;MNBBSE;Degree;26;50% (adequate achievement);50% (adequate achievement);50% (adequate achievement);50% (adequate achievement);;3;19;;
Science Engineering and Agriculture;BSc in Mathematics and Applied Mathematics;MNBBSF;Degree;26;50% (adequate achievement);50% (adequate achievement);50% (adequate achievement);50% (adequate achievement);;3;19;;
Science Engineering and Agriculture;BSc in Mathematics and Physics;MNBBSH;Degree;26;50% (adequate achievement);50% (adequate achievement);50% (adequate achievement);50% (adequate achievement);;3;19;;
Science Engineering and Agriculture;BSc in Mathematics and Statistics;MNBBSI;Degree;26;50% (adequate achievement);50% (adequate achievement);50% (adequate achievement);50% (adequate achievement);;3;19;;
Science Engineering and Agriculture;BSc in Physics and Chemistry;MNBBSJ;Degree;26;50% (adequate achievement);50% (adequate achievement);50% (adequate achievement);50% (adequate achievement);;3;21;;
Science Engineering and Agriculture;BSc in Chemistry and Mathematics;MNBBSK;Degree;26;50% (adequate achievement);50% (adequate achievement);50% (adequate achievement);50% (adequate achievement);;3;21;;
