Faculty;Programme Name;APS Requirement;Subject Requirements
Faculty of Management & Law;BAdmin - Bachelor of Administration;26;English: 4 (50-59%) | Additional subjects: Additional subjects to contribute to minimum APS total
Faculty of Management & Law;BAdmin (Local Government) - Bachelor of Administration in Local Government;26;English: 4 (50-59%) | Additional subjects: Additional subjects to contribute to minimum APS total
Faculty of Management & Law;BDev (Planning and Management) - Bachelor of Development Planning and Management;26;English: 4 (50-59%) | Mathematics: 3 (40-49%) OR 5 (60-69%) | Additional subjects: (Each additional subject requires a subminimum of)
Faculty of Management & Law;LLB - Bachelor of Laws;30;English: 5 (60-69%) | Additional subjects: Additional subjects to contribute to minimum APS total | *A score of 4 (50-59%) for English Home Language will be accepted.
Faculty of Management & Law;LLB - Bachelor of Laws (Extended Curriculum Programme);26;English: 5 (60-69%) | Additional subjects: Additional subjects to contribute to minimum APS total | *A score of 4 (50-59%) for English Home Language will be accepted.
Faculty of Science & Agriculture;BAgricMan - Bachelor of Agricultural Management;24;English: 4 (50-59%) | Mathematics: 3 (40-49%) | Life Sciences: 4 (50-59%) | Agricultural Subject: 4 (50-59%) | Additional subjects: Additional subjects to contribute to minimum APS total
Faculty of Science & Agriculture;BSc (Agriculture) (Agricultural Economics) - Bachelor of Science in Agriculture in Agricultural Economics;24;English: 4 (50-59%) | Mathematics: 4 (50-59%) | Life Sciences: 4 (50-59%) | Additional subjects: Additional subjects to contribute to minimum APS total
Faculty of Science & Agriculture;BSc (Agriculture) (Plant Production) - Bachelor of Science in Agriculture in Plant Production;24;English: 4 (50-59%) | Mathematics: 4 (50-59%) | Physical Sciences: 4 (50-59%) | Life Sciences: 4 (50-59%) | Additional subjects: Additional subjects to contribute to minimum APS total
Faculty of Science & Agriculture;BSc (Agriculture) (Animal Production) - Bachelor of Science in Agriculture in Animal Production;24;English: 4 (50-59%) | Mathematics: 4 (50-59%) | Physical Sciences: 4 (50-59%) | Life Sciences: 4 (50-59%) | Additional subjects: Additional subjects to contribute to minimum APS total
Faculty of Science & Agriculture;BSc (Agriculture) (Soil Science) - Bachelor of Science in Agriculture in Soil Science;25;English: 4 (50-59%) | Mathematics: 4 (50-59%) | Physical Sciences: 5 (60-69%) | Life Sciences: 4 (50-59%) | Additional subjects: Additional subjects to contribute to minimum APS total
Faculty of Science & Agriculture;BSc (Environmental & Resource Studies) - Bachelor of Science in Environmental & Resource Studies;24;English: 4 (50-59%) | Mathematics: 4 (50-59%) | Life Sciences: 4 (50-59%) | Geography: 4 (50-59%) | Additional subjects: Additional subjects to contribute to minimum APS total
Faculty of Science & Agriculture;BSc (Water & Sanitation Sciences) - Bachelor of Science in Water & Sanitation Sciences;24;English: 4 (50-59%) | Mathematics: 5 (60-69%) | Physical Sciences: 5 (60-69%) | Life Sciences: 4 (50-59%) | Additional subjects: Additional subjects to contribute to minimum APS total
Faculty of Science & Agriculture;BSc - Bachelor of Science (Physical Sciences stream);26;English: 4 (50-59%) | Mathematics: 5 (60-69%) | Physical Sciences: 5 (60-69%) | *Students selecting Life Sciences as an elective are required to have 4 (50-59%) | Additional subjects: Additional subjects to contribute to minimum APS total
Faculty of Science & Agriculture;BSc - Bachelor of Science (Physical Sciences stream) (Extended Curriculum Programme);22;English: 4 (50-59%) | Mathematics: 4 (50-59%) | Physical Sciences: 4 (50-59%) | Life Sciences: 3 (40-49%) | Additional subjects: Additional subjects to contribute to minimum APS total
Faculty of Science & Agriculture;BSc (Geology) - Bachelor of Science in Geology;26;English: 4 (50-59%) | Mathematics: 5 (60-69%) | Physical Sciences: 5 (60-69%) | Additional subjects: Additional subjects to contribute to minimum APS total
Faculty of Science & Agriculture;BSc - Bachelor of Science (Mathematical Sciences stream);24;English: 4 (50-59%) | Mathematics: 5 (60-69%) | *Students selecting Physics as an elective are required to have 5 (60-69%) | Additional subjects: Additional subjects to contribute to minimum APS total
Faculty of Science & Agriculture;BSc - Bachelor of Science (Mathematical Sciences stream) (Extended Curriculum Programme);22;English: 4 (50-59%) | Mathematics: 4 (50-59%) | Physical Sciences: 4 (50-59%) | Additional subjects: Additional subjects to contribute to minimum APS total
Faculty of Science & Agriculture;BSc - Bachelor of Science (Life Sciences Stream);26;English: 4 (50-59%) | Mathematics: 5 (60-69%) | Physical Sciences: 5 (60-69%) | Life Sciences: 4 (50-59%) | Additional subjects: Additional subjects to contribute to minimum APS total
Faculty of Science & Agriculture;BSc - Bachelor of Science (Life Sciences Stream) (Extended Curriculum Programme);22;English: 4 (50-59%) | Mathematics: 4 (50-59%) | Physical Sciences: 4 (50-59%) | Life Sciences: 3 (40-49%) | Additional subjects: Additional subjects to contribute to minimum APS total
Faculty of Health Sciences;MBChB - Bachelor of Medicine & Bachelor of Surgery;27;English: 4 (50-59%) | Mathematics: 5 (60-69%) | Physical Science: 5 (60-69%) | Life Science: 5 (60-69%) | Additional subject 1: 4 (50-59%) | Additional subject 2: 4 (50-59%)
Faculty of Health Sciences;BSc (Medical Sciences) - Bachelor of Science in Medical Sciences;26;English: 4 (50-59%) | Mathematics: 4 (50-59%) | Physical Science: 5 (60-69%) | Life Science: 5 (60-69%) | Additional subject 1: 4 (50-59%) | Additional subject 2: 4 (50-59%)
Faculty of Health Sciences;BSc (Dietetics) - Bachelor of Science in Dietetics;26;English: 4 (50-59%) | Mathematics: 4 (50-59%) | Physical Science: 5 (60-69%) | Life Science: 5 (60-69%) | Additional subject 1: 4 (50-59%) | Additional subject 2: 4 (50-59%)
Faculty of Health Sciences;BOptom - Bachelor of Optometry;27;English: 4 (50-59%) | Mathematics: 5 (60-69%) | Physical Science: 5 (60-69%) | Life Science: 5 (60-69%) | Additional subject 1: 4 (50-59%) | Additional subject 2: 4 (50-59%)
Faculty of Health Sciences;BNurs - Bachelor of Nursing;26;English: 4 (50-59%) | Mathematics: 4 (50-59%) | Physical Science: 5 (60-69%) | Life Science: 5 (60-69%) | Additional subject 1: 4 (50-59%) | Additional subject 2: 4 (50-59%)
Faculty of Health Sciences;BPharm - Bachelor of Pharmacy;27;English: 4 (50-59%) | Mathematics: 5 (60-69%) | Physical Science: 5 (60-69%) | Life Science: 5 (60-69%) | Additional subject 1: 4 (50-59%) | Additional subject 2: 4 (50-59%)
