Programme;AS_Mathematics;AS_Technical_Mathematics;AS_Mathematical_Literacy;Subject_Requirements
BED (SENIOR PHASE & FET: HUMANITIES STREAM);390;405;405;Maths: 45% | Math Lit: 60% | Tech Maths: 45% | English: 50% | FET Specialisation: English/Afrikaans/isiXhosa 55% | History 55% | Geography 55%
ADVANCED DIPLOMA IN TECHNICAL AND VOCATIONAL TEACHING;–;–;–;Requires: appropriate NQF Level 6 undergraduate diploma or bachelor's degree in a cognate field
PGCE: FET (FURTHER EDUCATION AND TRAINING);–;–;–;Requires: approved bachelor's degree NQF Level 7 or 8 with knowledge to teach at least 2 FET school subjects
PGCE: SP & FET (SENIOR PHASE AND FURTHER EDUCATION AND TRAINING);–;–;–;Requires: approved bachelor's degree NQF Level 7 or 8 with knowledge to teach 1 FET and 1 GET school subject
HCERT (MECHATRONIC ENGINEERING);330;330;–;Maths or Tech Maths: 50% | Physical Sciences or Tech Science: 50% | Math Lit: Not accepted
HCERT (RENEWABLE ENERGY ENGINEERING);330;330;–;Maths or Tech Maths: 50% | Physical Sciences or Tech Science: 50% | Math Lit: Not accepted
DIP (OPERATIONS MANAGEMENT);310;310;325;Maths or Tech Maths: 40% | Math Lit: 60% | Full-time employment in related field required | CV required
ADVANCED DIPLOMA (QUALITY);–;–;–;Requires: 65% average for relevant Diploma/Degree or 60% with 2 years post-diploma experience | Maths I or equivalent at NQF Level 5 | Employment in relevant field required
ADVANCED DIPLOMA (OPERATIONS MANAGEMENT);–;–;–;Requires: 65% average for relevant Diploma/Degree or 60% with 2 years post-diploma experience | Maths I or equivalent at NQF Level 5
BENG (MECHATRONICS);410;–;–;Maths: 60% | Physical Sciences: 65% | Math Lit: Not accepted
BENGTECH (ELECTRICAL ENGINEERING);370;370;–;Maths or Tech Maths: 60% | Physical Sciences or Tech Science: 50% | Math Lit: Not accepted
BENGTECH (INDUSTRIAL ENGINEERING);370;370;–;Maths or Tech Maths: 60% | Physical Sciences or Tech Science: 50% | Math Lit: Not accepted
BENGTECH (MECHANICAL ENGINEERING);370;370;–;Maths or Tech Maths: 60% | Physical Sciences or Tech Science: 50% | Math Lit: Not accepted
BENGTECH (MARINE ENGINEERING);370;370;–;Maths or Tech Maths: 60% | Physical Sciences or Tech Science: 50% | Math Lit: Not accepted
